State,year_month,pdsi
AZ,2007-10,-4.24
AZ,2007-11,-4.28
AZ,2007-12,-3.12
AZ,2008-01,-2.07
AZ,2008-02,-1.64
AZ,2008-03,-2.09
AZ,2008-04,-2.29
AZ,2008-05,-1.63
AZ,2008-06,-1.29
AZ,2008-07,-0.74
AZ,2008-08,-0.6
AZ,2008-09,-1.09
AZ,2008-10,-1.59
AZ,2008-11,-1.58
AZ,2008-12,-1.02
AZ,2009-01,-1.42
AZ,2009-02,-1.41
AZ,2009-03,-1.98
AZ,2009-04,-2.37
AZ,2009-05,-2.44
AZ,2009-06,-2.58
AZ,2009-07,-3.11
AZ,2009-08,-4.06
AZ,2009-09,-4.16
AZ,2009-10,-4.3
AZ,2009-11,-4.56
AZ,2009-12,0.06
AZ,2010-01,1.59
AZ,2010-02,1.88
AZ,2010-03,1.81
AZ,2010-04,1.8
AZ,2010-05,2.02
AZ,2010-06,2.32
AZ,2010-07,2.29
AZ,2010-08,-0.27
AZ,2010-09,-0.89
AZ,2010-10,-0.52
AZ,2010-11,-0.92
AZ,2010-12,-0.73
AZ,2011-01,-1.39
AZ,2011-02,-1.25
AZ,2011-03,-1.8
AZ,2011-04,-2.3
AZ,2011-05,-2.54
AZ,2011-06,-3.09
AZ,2011-07,-2.91
AZ,2011-08,-3.48
AZ,2011-09,-3.15
AZ,2011-10,-3.11
AZ,2011-11,-2.74
AZ,2011-12,-2.2
AZ,2012-01,-2.68
AZ,2012-02,-2.94
AZ,2012-03,-3.11
AZ,2012-04,-3.67
AZ,2012-05,-4.24
AZ,2012-06,-4.75
AZ,2012-07,-3.76
AZ,2012-08,-3.43
AZ,2012-09,-3.26
AZ,2012-10,-3.6
AZ,2012-11,-3.93
AZ,2012-12,-3.4
AZ,2013-01,-2.85
AZ,2013-02,-2.81
AZ,2013-03,-3.1
AZ,2013-04,-3.48
AZ,2013-05,-3.71
AZ,2013-06,-4.09
AZ,2013-07,-3.02
AZ,2013-08,-2.57
AZ,2013-09,-1.75
AZ,2013-10,-2.06
AZ,2013-11,-1.17
AZ,2013-12,-1.46
AZ,2014-01,-2.26
AZ,2014-02,-3.06
AZ,2014-03,-3.4
AZ,2014-04,-3.97
AZ,2014-05,-4.49
AZ,2014-06,-5.06
AZ,2014-07,-4.65
AZ,2014-08,-3.34
AZ,2014-09,-2.01
AZ,2014-10,-2.24
AZ,2014-11,-2.68
AZ,2014-12,-2.34
AZ,2015-01,-1.78
AZ,2015-02,-2.19
AZ,2015-03,-2.4
AZ,2015-04,-2.67
AZ,2015-05,0.25
AZ,2015-06,0.33
AZ,2015-07,0.42
AZ,2015-08,0.24
AZ,2015-09,0.22
AZ,2015-10,0.84
AZ,2015-11,-0.03
AZ,2015-12,-0.4
CA,1992-01,-3.22
CA,1992-02,-2.46
CA,1992-03,-2.04
CA,1992-04,-2.34
CA,1992-05,-2.77
CA,1992-06,-2.93
CA,1992-07,-2.99
CA,1992-08,-2.86
CA,1992-09,-3.04
CA,1992-10,-2.31
CA,1992-11,-2.93
CA,1992-12,0.9
CA,1993-01,2.79
CA,1993-02,3.44
CA,1993-03,2.9
CA,1993-04,2.46
CA,1993-05,2.68
CA,1993-06,3.06
CA,1993-07,3.02
CA,1993-08,2.89
CA,1993-09,-0.39
CA,1993-10,-0.7
CA,1993-11,-1.12
CA,1993-12,-1.53
CA,1994-01,-2.44
CA,1994-02,-2.26
CA,1994-03,-2.96
CA,1994-04,-2.89
CA,1994-05,-2.2
CA,1994-06,-2.04
CA,1994-07,-2.22
CA,1994-08,-2.41
CA,1994-09,-2.33
CA,1994-10,-2.45
CA,1994-11,0.59
CA,1994-12,0.29
CA,1995-01,3.46
CA,1995-02,2.23
CA,1995-03,4.71
CA,1995-04,4.79
CA,1995-05,5.12
CA,1995-06,5.76
CA,1995-07,6.26
CA,1995-08,5.71
CA,1995-09,4.73
CA,1995-10,3.37
CA,1995-11,1.86
CA,1995-12,2.18
CA,1996-01,2.34
CA,1996-02,2.9
CA,1996-03,2.28
CA,1996-04,2.15
CA,1996-05,2.84
CA,1996-06,3.08
CA,1996-07,2.88
CA,1996-08,2.16
CA,1996-09,1.74
CA,1996-10,1.84
CA,1996-11,1.86
CA,1996-12,3.45
CA,1997-01,4.62
CA,1997-02,-0.94
CA,1997-03,-2.0
CA,1997-04,-2.25
CA,1997-05,-2.77
CA,1997-06,-3.03
CA,1997-07,-3.08
CA,1997-08,-2.86
CA,1997-09,0.45
CA,1997-10,0.31
CA,1997-11,0.71
CA,1997-12,0.42
CA,1998-01,1.48
CA,1998-02,4.16
CA,1998-03,4.17
CA,1998-04,4.09
CA,1998-05,5.5
CA,1998-06,6.04
CA,1998-07,7.17
CA,1998-08,6.6
CA,1998-09,6.23
CA,1998-10,5.35
CA,1998-11,5.48
CA,1998-12,-0.63
CA,1999-01,-0.79
CA,1999-02,0.57
CA,1999-03,0.29
CA,1999-04,0.47
CA,1999-05,0.22
CA,1999-06,0.31
CA,1999-07,0.5
CA,1999-08,0.52
CA,1999-09,-0.28
CA,1999-10,-0.77
CA,1999-11,-1.01
CA,1999-12,-2.12
CA,2000-01,-0.05
CA,2000-02,1.0
CA,2000-03,-0.54
